year,team1_Name,team2_Name,winningTeam,mapName,team1Score,team2Score,team1Agents,team2Agents,agentsPicked
2022,ZETA DIVISION,Paper Rex,Paper Rex,Icebox,6,13,"Chamber, Jett, Sage, Sova, Viper","Chamber, Jett, Sage, Sova, Viper","Sage, Jett, Viper, Chamber, Sova, Sage, Chamber, Sova, Viper, Jett"
2022,ZETA DIVISION,Paper Rex,ZETA DIVISION,Haven,13,2,"Astra, Breach, Jett, Killjoy, Skye","Cypher, Jett, Omen, Reyna, Skye","Jett, Astra, Killjoy, Breach, Skye, Cypher, Jett, Skye, Reyna, Omen"
2022,ZETA DIVISION,Paper Rex,ZETA DIVISION,Split,13,10,"Astra, Raze, Sage, Skye, Viper","Cypher, Jett, Omen, Raze, Sage","Astra, Viper, Sage, Skye, Raze, Jett, Raze, Cypher, Sage, Omen"
2022,OpTic Gaming,ZETA DIVISION,ZETA DIVISION,Haven,15,13,"Chamber, Kayo, Neon, Omen, Skye","Astra, Breach, Jett, Killjoy, Skye","Omen, Chamber, Skye, Kayo, Neon, Astra, Jett, Skye, Breach, Killjoy"
2022,OpTic Gaming,ZETA DIVISION,OpTic Gaming,Fracture,13,5,"Breach, Brimstone, Chamber, Kayo, Neon","Astra, Breach, Chamber, Raze, Viper","Neon, Brimstone, Chamber, Kayo, Breach, Raze, Chamber, Breach, Astra, Viper"
2022,OpTic Gaming,ZETA DIVISION,OpTic Gaming,Bind,13,8,"Brimstone, Chamber, Raze, Skye, Viper","Astra, Raze, Sage, Skye, Viper","Chamber, Brimstone, Skye, Viper, Raze, Astra, Skye, Raze, Viper, Sage"
2022,LOUD,OpTic Gaming,OpTic Gaming,Ascent,9,13,"Jett, Kayo, Killjoy, Omen, Sova","Jett, Kayo, Killjoy, Omen, Sova","Jett, Omen, Kayo, Sova, Killjoy, Omen, Sova, Jett, Killjoy, Kayo"
2022,LOUD,OpTic Gaming,OpTic Gaming,Bind,12,14,"Astra, Raze, Skye, Sova, Viper","Brimstone, Chamber, Raze, Skye, Viper","Sova, Raze, Skye, Astra, Viper, Chamber, Raze, Brimstone, Viper, Skye"
2022,LOUD,OpTic Gaming,LOUD,Breeze,13,15,"Chamber, Jett, Kayo, Sova, Viper","Chamber, Jett, Kayo, Sova, Viper","Jett, Chamber, Viper, Kayo, Sova, Sova, Jett, Chamber, Kayo, Viper"
2022,BBL Esports,Natus Vincere,Natus Vincere,Ascent,6,13,"Astra, Chamber, Kayo, Sage, Sova","Jett, Kayo, Killjoy, Omen, Sova","Kayo, Chamber, Astra, Sova, Sage, Sova, Killjoy, Kayo, Jett, Omen"
2022,BBL Esports,Natus Vincere,Natus Vincere,Icebox,18,16,"Chamber, Kayo, Sage, Sova, Viper","Chamber, Kayo, Sage, Sova, Viper","Chamber, Viper, Sova, Kayo, Sage, Kayo, Chamber, Sova, Sage, Viper"
2022,BBL Esports,Natus Vincere,BBL Esports,Fracture,13,6,"Breach, Brimstone, Chamber, Neon, Sage","Breach, Brimstone, Chamber, Neon, Raze","Chamber, Neon, Brimstone, Sage, Breach, Brimstone, Neon, Raze, Chamber, Breach"
2022,OG LDN UTD,Acend,Acend,Icebox,7,13,"Chamber, Fade, Sage, Sova, Viper","Chamber, Kayo, Reyna, Sova, Viper","Sova, Sage, Chamber, Fade, Viper, Kayo, Viper, Reyna, Sova, Chamber"
2022,OG LDN UTD,Acend,Acend,Split,12,14,"Breach, Chamber, Omen, Raze, Sage","Cypher, Jett, Omen, Raze, Sage","Raze, Chamber, Omen, Breach, Sage, Omen, Raze, Sage, Cypher, Jett"
2022,FNATIC,FunPlus Phoenix,FNATIC,Fracture,13,3,"Astra, Breach, Chamber, Raze, Viper","Astra, Breach, Cypher, Raze, Yoru","Raze, Chamber, Viper, Astra, Breach, Astra, Cypher, Yoru, Breach, Raze"
