year,team1Encoded,team2Encoded,encodedMapName,team1Score,team2Score,agent1Encoded,agent2Encoded,agent3Encoded,agent4Encoded,agent5Encoded,agent6Encoded,agent7Encoded,agent8Encoded,agent9Encoded,agent10Encoded,team1Agents,team2Agents
2021,56,48,1,3,13,11,2,6,3,16,11,1,16,3,19,"11, 2, 6, 3, 16","11, 1, 16, 3, 19"
2021,16,8,3,13,4,16,19,3,21,11,3,21,6,16,11,"16, 19, 3, 21, 11","3, 21, 6, 16, 11"
2021,16,8,7,22,24,13,21,8,9,16,3,14,2,16,5,"13, 21, 8, 9, 16","3, 14, 2, 16, 5"
2021,16,8,8,8,13,3,21,18,19,13,21,8,2,19,18,"3, 21, 18, 19, 13","21, 8, 2, 19, 18"
2021,32,7,8,13,6,2,19,8,21,18,21,8,18,2,6,"2, 19, 8, 21, 18","21, 8, 18, 2, 6"
2021,32,7,2,13,0,2,18,11,6,14,14,6,13,21,11,"2, 18, 11, 6, 14","14, 6, 13, 21, 11"
2021,18,37,2,12,14,14,1,6,2,21,19,21,13,11,14,"14, 1, 6, 2, 21","19, 21, 13, 11, 14"
2021,18,37,1,13,7,16,1,14,19,3,16,6,3,14,11,"16, 1, 14, 19, 3","16, 6, 3, 14, 11"
2021,18,37,8,8,13,8,6,1,2,21,11,19,13,8,21,"8, 6, 1, 2, 21","11, 19, 13, 8, 21"
2021,40,42,7,13,7,7,16,21,3,8,3,8,14,13,16,"7, 16, 21, 3, 8","3, 8, 14, 13, 16"
2021,40,42,2,10,13,11,14,21,1,13,11,13,21,19,14,"11, 14, 21, 1, 13","11, 13, 21, 19, 14"
2021,40,42,3,13,5,11,1,3,21,14,11,21,3,14,1,"11, 1, 3, 21, 14","11, 21, 3, 14, 1"
2021,21,14,7,13,4,8,21,2,6,16,8,11,3,16,2,"8, 21, 2, 6, 16","8, 11, 3, 16, 2"
2021,21,14,2,13,5,21,14,6,11,13,11,6,21,14,13,"21, 14, 6, 11, 13","11, 6, 21, 14, 13"
2021,48,8,7,13,7,21,19,7,8,11,2,3,14,16,5,"21, 19, 7, 8, 11","2, 3, 14, 16, 5"
2021,48,8,1,13,10,1,16,3,19,11,16,14,11,19,3,"1, 16, 3, 19, 11","16, 14, 11, 19, 3"
2021,32,37,8,10,13,19,8,2,21,18,8,21,11,19,13,"19, 8, 2, 21, 18","8, 21, 11, 19, 13"
2021,32,37,7,17,15,8,16,14,2,3,8,6,16,7,14,"8, 16, 14, 2, 3","8, 6, 16, 7, 14"
2021,32,37,2,13,15,2,14,11,18,6,13,19,11,14,21,"2, 14, 11, 18, 6","13, 19, 11, 14, 21"
2021,42,48,8,11,13,19,16,2,3,11,11,13,8,19,21,"19, 16, 2, 3, 11","11, 13, 8, 19, 21"
2021,42,48,7,13,3,3,14,16,2,11,8,21,7,19,11,"3, 14, 16, 2, 11","8, 21, 7, 19, 11"
2021,42,48,3,16,14,3,11,1,14,21,1,3,14,21,11,"3, 11, 1, 14, 21","1, 3, 14, 21, 11"
2021,14,37,3,8,13,21,1,3,11,14,6,21,14,11,3,"21, 1, 3, 11, 14","6, 21, 14, 11, 3"
